Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Friday,Rob Marshall,action,Pirates of the Caribbean: On Stranger Tides,20/05/2011,Buena Vista Studios,"1,105.50",250,"1,045.70",6.7,3.34,137,241.1
Friday,Michael Bay,action,Transformers: Age of Extinction,27/06/2014,Paramount Pictures,"1,109",210,"1,104",5.8,2.53,165,245.4
Friday,Christopher Nolan,action,The Dark Knight,18/07/2008,WB,"1,109.60",185,"1,004.60",9,4.5,152,534.9
Friday,Tim Burton,adventure,Alice in Wonderland,05/03/2010,Buena Vista Studios,"1,118.40",200,"1,025.50",6.5,3.27,108,334.2
Friday,Christopher Nolan,action,The Dark Knight Rises,20/07/2012,WB,"1,123.20",275,"1,084.40",8.5,4.01,165,448.1
Wednesday,Richard Marquand,action,Return of the Jedi,25/05/1983,Fox,"1,134.30",32.5,475.1,8.4,3.99,134,309.3
Thursday,Sam Mendes,action,Skyfall,08/11/2012,Sony,"1,148.20",200,"1,108.60",7.8,3.81,143,304.4
Wednesday,"Andrew Adamson, Kelly Asbury, Conrad Vernon",animation,Shrek 2,19/05/2004,DreamWorks,"1,157.90",70,919.8,7.2,3.59,93,441.2
Friday,Lee Unkrich,animation,Toy Story 3,18/06/2010,Buena Vista Studios,"1,159.50",200,"1,063.20",8.4,4.01,103,415
Friday,Chris Columbus,adventure,Harry Potter and the Chamber of Secrets,15/11/2002,WB,"1,161.90",100,879,7.3,3.58,161,262
Wednesday,Peter Jackson,action,The Lord of the Rings: The Fellowship of the Ring,19/12/2001,New Line Cinema,"1,170.20",109,871.5,8.8,4.14,178,315.5
Wednesday,Michael Bay,action,Transformers: Dark of the Moon,29/06/2011,Pacific Data/DreamWorks,"1,188.10",195,"1,123.80",6.3,2.97,157,352.4
Wednesday,Steven Spielberg,drama,Close Encounters of the Third Kind,16/11/1977,Colombia Pictures,"1,192.20",20,303.8,7.7,3.78,132,132.1
Friday,"Andrew Stanton, Lee Unkrich",animation,Finding Nemo,30/05/2003,Buena Vista Studios,"1,210.60",94,936.7,8.2,3.89,100,380.8
